property_name,property_id,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathroom,bedroom
"4 bed room plus hall kitchen,house for rent at kottooli",1775150712,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Koottuli', '4 bed room plus hall kitchen,house for rent at kottooli']","{'amount': '20,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fede1ql722kg-IN/image;s=850x0,Near kottooli KT gopalan road just near.wide mini bus rout road.,All Rentals,"Koottuli, Kozhikode, Kerala",Houses & Villas,0,4
Studio fully furnished flat for at Thondayad bypass,1635785429,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', 'Studio fully furnished flat for at Thondayad bypass']","{'amount': '20,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/v97sjotle3bx-IN/image;s=850x0,Studio fully furnished flat for at Thondayad bypass,FAISAL,"Thondayad, Kozhikode, Kerala",Apartments,1,1
3 bhk gated villa near thondayad,1775293935,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '3 bhk gated villa near thondayad']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/c7yjk8nvt2511-IN/image;s=850x0,3 bhk gated villa near thondayad,Muneer..,"Thondayad, Kozhikode, Kerala",Houses & Villas,3,3
Executive Family Flats for Rent at Manjeri,1745684098,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Manjeri', 'For Rent: Houses & Apartments in Annkhoyam', 'Executive Family Flats for Rent at Manjeri']","{'amount': '12,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/0eaaoudgbiqx1-IN/image;s=850x0,"Well maintained Semi-furnished, executive family apartments (1, 2 & 3 BHK) for rent at Manjeri.  Having easy access to all main localities including Manjeri Medical College, District Court, Manjeri Town, Ladder Shopping Mall, Girls/ Boys High Schools, NSS College (all within 2-3 kms).  Supermarket and Petrol Station are opposite to the building.  Apartments under CCTV surveillance.  Pure drinking well water is available.",Qaid Jowhar ,"Annkhoyam, Manjeri, Kerala",Apartments,2,2
New Furnished Independent House for Rent,1772898178,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kannur', 'For Rent: Houses & Apartments in Pallikunnu', 'New Furnished Independent House for Rent']","{'amount': '19,500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/zzmacg75dzqn2-IN/image;s=850x0,"3BHK, 4-bathroom House for rent near Gopalankada, Podikkund, Kannur.",Jayakanth,"Pallikunnu, Kannur, Kerala",Houses & Villas,4,3
FULLY FURNISHED HOUSE FOR RENT,1771479549,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Govindapuram', 'FULLY FURNISHED HOUSE FOR RENT']","{'amount': '25,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/p26v36gaj3nz2-IN/image;s=850x0,"Walkable distance to PNB and  MIMS  Hospital and nearby central school (KV),",anil kumar,"Govindapuram, Kozhikode, Kerala",Houses & Villas,2,2
2 bhk house ground flor LEASE near kottooli.,1775287817,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Koottuli', '2 bhk house ground flor LEASE near kottooli.']","{'amount': '10,00,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/v2f0j10tkkcl-IN/image;s=850x0,Ground flor. LEASE. 10 Lakhs. 2 bed room. 2 bed room. Hall. Kitchen. Car parking.,PRAVEEN,"Koottuli, Kozhikode, Kerala",Houses & Villas,2,2
2 bhk furnished flat for Rent at Kottooli,1772929693,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Kottuli', '2 bhk furnished flat for Rent at Kottooli']","{'amount': '30,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/zgsfh16s5kb81-IN/image;s=850x0,2bhk furnished flat for Rent At kottooli ,Endless properties,"Kottuli, Kozhikode, Kerala",Apartments,2,2
First floor avialbale for rent purpose,1757163533,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Karaparamba', 'First floor avialbale for rent purpose']","{'amount': '15,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/om6x4zgi8c1d1-IN/image;s=850x0,Main road access 2 bhk 1 st floor space available at karikkamkulam main road side. covered  car parking .family and bachelors also suited for monthly rental basis,Sam,"Karaparamba, Kozhikode, Kerala",Apartments,2,2
1BHK furnished flat for weekly and monthly rent in calicut,1775239967,"['Home', 'Properties', 'For Rent: Houses & Apartments', 'For Rent: Houses & Apartments in Kerala', 'For Rent: Houses & Apartments in Kozhikode', 'For Rent: Houses & Apartments in Thondayad', '1BHK furnished flat for weekly and monthly rent in calicut']","{'amount': '39,000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/52mkr9buy966-IN/image;s=850x0,1BHK furnished flat for weekly and monthly rent in calicut,Planet Homes,"Thondayad, Kozhikode, Kerala",Apartments,1,1
